,Price,GDP,RATE_10,URATE,CPI,PPI,HOUSE,SAVE,Index Enterprise Value,Adjusted Price/Earnings ratio,Adjusted Price/Estimated Earnings,BEst Div Yld,Total Debt to Total Equity,Current Market Cap,Profit Margin,SMA_10d,SMA_20d,SMA_60d,EMA_10d,EMA_20d,EMA_60d,MOM_10d,MOM_20d,MOM_60d,RSI_10d,RSI_20d,RSI_60d
2007-01-12,1.813975691795349,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2149.9744,10.1408,19.9704,1.8544,96.9741,1322483.78,4.0072,1.817603385448456,1.8070894837379456,,1.8124504970913515,1.8055301846313063,,-0.015918612480163796,0.01927852630615212,,60.69555588305457,68.40283856261473,
2007-01-16,1.8254514932632449,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2151.8147,10.1517,19.9948,1.8527,96.9741,1326364.72,4.0072,1.8172702193260193,1.8087183833122253,,1.8148143145771503,1.8074274521200624,,-0.0033316612243647903,0.032577991485595925,,70.44588038541218,73.0469332208109,
2007-01-17,1.8228600025177,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2148.3555,10.1308,19.9586,1.8564,96.9741,1326058.59,4.0069,1.8166779041290284,1.810217708349228,,1.8162771669299775,1.8088972188245993,,-0.005923151969909668,0.029986500740051047,,66.31794761785163,70.58098617155663,
2007-01-18,1.8250812292099,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2149.7641,10.1391,19.9799,1.8548,96.9741,1325831.16,4.0069,1.8163077116012574,1.8118280947208405,,1.817877905526327,1.8104385531470089,,-0.003701925277709739,0.03220772743225098,,68.09824402303795,71.45054544492034,
2007-01-19,1.8250812292099,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2153.1533,10.1598,20.0218,1.8497,96.9741,1326782.56,4.0052,1.8159375190734863,1.813438481092453,,1.819187600741522,1.8118330937244271,,-0.003701925277709739,0.03220772743225098,,68.09824402303795,71.45054544492034,
2007-01-22,1.83174467086792,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2156.384,10.1788,20.0741,1.8461,96.9741,1323930.56,4.0052,1.8186028957366944,1.8153820395469666,,1.8214707044008671,1.8137294344047599,,0.026653766632079856,0.038871169090270996,,73.32084187777494,74.00457815617456,
2007-01-23,1.83174467086792,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2158.4249,10.1908,20.0969,1.8439,96.9741,1325520.18,4.0052,1.8212682723999023,1.8173255980014802,,1.8233386983039677,1.815445171210775,,0.026653766632079856,0.038871169090270996,,73.32084187777492,74.00457815617456,
2007-01-24,1.836557149887085,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2163.9942,10.2236,20.162,1.8401,96.9741,1330223.73,4.0052,1.8240447521209717,1.819509780406952,,1.8257420531372617,1.8174558358466142,,0.027764797210692915,0.043683648109436035,,76.71910430020719,75.74125871167317,
2007-01-25,1.836557149887085,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2154.6232,10.1684,19.9948,1.8502,96.9741,1321066.61,4.0052,1.8263028979301452,1.8216939628124238,,1.8277084343645023,1.8192750086123732,,0.022581458091736062,0.043683648109436035,,76.71910430020719,75.74125871167317,
2007-01-26,1.836557149887085,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2153.1936,10.16,19.9806,1.8518,96.9741,1318511.93,4.0052,1.828561043739319,1.8238781452178956,,1.8293172917322447,1.8209209268290125,,0.022581458091736062,0.043683648109436035,,76.71910430020719,75.74125871167317,
